color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
,,,,0,,,,,,,,,,,,,,,,,PG,22000000,1982,,,,12000
,,,,607,,,,,,,,,,,,,,,,,PG,12000000,1977,,,,0
,,,,195,,,,,,,,,,,,,,,,,PG,22000000,2013,,,,0
,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,141
,,,,607,,,,,,,,,,,,,,,,,R,1800000,1971,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,211
,,,,20,,,,,,,,,,,,,,,,,PG,20000000,1979,,,,4000
,,,,32,,,,,,,,,,,,,,,,,PG-13,20000000,1969,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,124
,,,,503,,,,,,,,,,,,,,,,,PG-13,20000000,1985,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,53,,,,,,,,,,,,,,,,,PG-13,19500000,2015,,,,0
,,,,189,,,,,,,,,,,,,,,,,G,20000000,1969,,,,548
,,,,,,,,,,,,,,,,,,,,,TV-14,,,,,,0
,,,,329,,,,,,,,,,,,,,,,,R,20000000,2008,,,,971
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,23,,,,,,,,,,,,,,,,,,13000,2007,,,,30
,,,,10,,,,,,,,,,,,,,,,,R,25000000,2008,,,,314
,,,,5,,,,,,,,,,,,,,,,,R,20000000,2007,,,,0
,,,,0,,,,,,,,,,,,,,,,,G,20000000,2012,,,,1000
,,,,0,,,,,,,,,,,,,,,,,,,2014,,,,58
,,,,2,,,,,,,,,,,,,,,,,PG,20000000,2014,,,,70
,,,,23,,,,,,,,,,,,,,,,,R,20000000,2016,,,,0
,,,,160,,,,,,,,,,,,,,,,,PG-13,20000000,2015,,,,0
,,,,17,,,,,,,,,,,,,,,,,R,27220000,2013,,,,11000
,,,,0,,,,,,,,,,,,,,,,,R,19000000,1980,,,,37000
,,,,97,,,,,,,,,,,,,,,,,,27000000,2016,,,,1000
,,,,,,,,,,,,,,,,,,,,,TV-14,,,,,,0
,,,,0,,,,,,,,,,,,,,,,,,,2013,,,,332
,,,,75,,,,,,,,,,,,,,,,,Approved,19000000,1964,,,,560
,,,,15,,,,,,,,,,,,,,,,,PG-13,,2013,,,,124
,,,,,,,,,,,,,,,,,,,,,TV-PG,,,,,,0
,,,,0,,,,,,,,,,,,,,,,,R,18000000,1970,,,,0
,,,,0,,,,,,,,,,,,,,,,,R,18000000,1981,,,,2000
,,,22,,,,870,,,Nate Richert,,,,,,,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,,English,USA,TV-G,,,,6.6,1.33,
,,,119,,,,12000,,,Taylor Lautner,,,,,,,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,,English,USA,TV-14,,2015,,4.9,2.35,
,,,30,,,,962,,,Chris Noth,,,,,,,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,,English,USA,TV-MA,,,,7.0,1.33,
,,,22,,,,883,,,Barry Corbin,,,,,,,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,,English,USA,,,,,6.7,16.0,
,,,44,,,,847,,,Christopher Judge,,,,,,,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,,English,USA,TV-14,,,,8.4,1.33,
,,,152,,,,617,,,James Mason,,,,,,,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,,English,UK,Not Rated,,1962,,7.7,1.66,
,,,96,,,,13000,,,Sylvester Stallone,,,,,,,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,,English,USA,R,,2002,,5.3,2.35,
,,,45,,,,416,,,Bernard Hill,,,,,,,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,,English,UK,,,,,7.9,,
,,,105,,,,325,,,David Jason,,,,,,,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,,English,UK,,,,,7.8,1.33,
,,,60,,,,629,,,Grey Damon,,,,,,,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,,English,USA,,,,,7.5,16.0,
,,,43,,,,3000,,,Julie Benz,,,,,,,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,,English,USA,TV-MA,,,,7.0,1.78,
,,,64,,,,1000,,,Tobias Menzies,,,,,,,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,,English,USA,TV-MA,,,,8.5,16.0,
,,,89,,,,598,,,P.J. Soles,,,,,,,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,,English,USA,,,2006,,4.6,1.78,
,,,93,,,,13000,,,Sylvester Stallone,,,,,,,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,,English,USA,R,,1982,,7.7,2.35,
,,,115,,,,29,,,Donatas Banionis,,,,,,,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,,Russian,Soviet Union,PG,,1972,,8.1,2.35,
,,,140,,,,1000,,,Laurence Olivier,,,,,,,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,,English,South Korea,PG,,1981,,2.7,2.35,
,,,111,,,,6000,,,Lucille Ball,,,,,,,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,,English,USA,Unrated,,1968,,7.2,1.85,
,,,52,,,,164,,,Pierre Perrier,,,,,,,http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1,,French,France,TV-MA,,,,8.3,16.0,
,,,91,,,,719,,,Jerry Stiller,,,,,,,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,,English,USA,PG,,2012,,1.7,,
,,,30,,,,870,,,Tim Conway,,,,,,,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,,English,USA,TV-G,,,,7.5,4.0,
,,,101,,,,326,,,Jamel Debbouze,,,,,,,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,,French,France,,,2015,,4.9,,
,,,,14,,,,12561,,,,,,,,,,,,,PG,19000000,2010,,,,13000
,,,,18,,,,15593,,,,,,,,,,,,,PG-13,21000000,1999,,,,284
,,,,17000,,,,45250,,,,,,,,,,,,,R,18000000,1980,,,,0
,,,,448,,,,54734,,,,,,,,,,,,,R,,2015,,,,0
,,,80,,,,5000,84961,,Jet Li,,,,,,,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,,Mandarin,China,PG-13,,2002,,7.9,2.35,
,,,,3,,,,121972,,,,,,,,,,,,,R,22000000,2002,,,,217
,,,,8,,,,146072,,,,,,,,,,,,,,140000000,1998,,,,136
,,,,0,,,,206678,,,,,,,,,,,,,PG,,2008,,,,1000
,,,,278,,,,263365,,,,,,,,,,,,,PG-13,20000000,2010,,,,0
,,,,58,,,,305070,,,,,,,,,,,,,R,20000000,1994,,,,399
,,,,25,,,,375474,,,,,,,,,,,,,PG,20000000,2005,,,,445
,,,,78,,,,410388,,,,,,,,,,,,,PG-13,2127519898,2004,,,,973
,,,,34,,,,476270,,,,,,,,,,,,,R,20000000,2008,,,,0
,,,110,,,,113,528972,,Nandita Das,,,,,,,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,,Hindi,India,Unrated,,1998,,7.8,,
,,,,11000,,,,531009,,,,,,,,,,,,,R,10000000,2015,,,,0
,,,,44,,,,560512,,,,,,,,,,,,,R,,2016,,,,599
,,,,46,,,,578382,,,,,,,,,,,,,R,,2010,,,,0
,,,,2,,,,634277,,,,,,,,,,,,,PG-13,16000000,2007,,,,815
,,,,115,,,,882710,,,,,,,,,,,,,R,24000000,2000,,,,401
,,,,0,,,,958319,,,,,,,,,,,,,PG-13,21000000,2011,,,,17000
,,,,55,,,,1027749,,,,,,,,,,,,,R,40000000,2008,,,,1000
,,,,13,,,,1050445,,,,,,,,,,,,,PG-13,22000000,2005,,,,11000
,,,,12,,,,1064277,,,,,,,,,,,,,G,20000000,2012,,,,831
,,,,14,,,,1183354,,,,,,,,,,,,,PG-13,20000000,2010,,,,0
,,,,110,,,,1190018,,,,,,,,,,,,,R,20000000,2002,,,,20000
,,,137,,,,27000,1206135,,Tom Hardy,,,,,,,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,,English,Czech Republic,R,,2015,,6.4,2.35,
,,,105,,,,1000,1260917,,Omar Sy,,,,,,,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,,French,France,R,,2009,,7.2,2.35,
,,,,500,,,,1292527,,,,,,,,,,,,,R,19000000,1996,,,,228
,,,,93,,,,1357042,,,,,,,,,,,,,R,15000000,2011,,,,14000
,,,325,,,,12000,1500000,,Jeff Bridges,,,,,,,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,,English,USA,R,,1980,,6.8,2.35,
,,,,121,,,,1646664,,,,,,,,,,,,,R,20000000,2003,,,,241
,,,,43,,,,1796024,,,,,,,,,,,,,R,22000000,2010,,,,0
,,,,214,,,,1900725,,,,,,,,,,,,,R,2000000,2005,,,,0
,,,,42,,,,2000000,,,,,,,,,,,,,PG,20000000,1980,,,,1000
,,,,22,,,,2119994,,,,,,,,,,,,,G,19000000,1993,,,,238
,,,103,,,,849,2154540,,Sam Waterston,,,,,,,http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,,English,USA,R,,1997,,4.9,2.35,
,,,143,,,,11000,2175312,,Harrison Ford,,,,,,,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2013,,6.3,2.35,
,,,,14,,,,2246000,,,,,,,,,,,,,PG,20000000,2015,,,,0
,,,,6000,,,,2298191,,,,,,,,,,,,,PG-13,2400000000,1997,,,,11000
,,,,22,,,,2353728,,,,,,,,,,,,,PG-13,20000000,2003,,,,235
,,,,0,,,,2840417,,,,,,,,,,,,,R,31000000,1999,,,,6000
,,,,17,,,,2963012,,,,,,,,,,,,,R,22000000,2014,,,,11000
,,,,0,,,,3081925,,,,,,,,,,,,,R,21000000,2008,,,,13000
,,,,24,,,,3108216,,,,,,,,,,,,,R,,2016,,,,0
,,,,0,,,,3519627,,,,,,,,,,,,,PG-13,20000000,2008,,,,0
,,,,19,,,,3749061,,,,,,,,,,,,,PG-13,20000000,2012,,,,0
,,,,162,,,,4001121,,,,,,,,,,,,,R,20000000,2007,,,,0
,,,,18,,,,4234040,,,,,,,,,,,,,PG-13,20000000,2008,,,,0
,,,,272,,,,4250320,,,,,,,,,,,,,PG-13,18000000,1985,,,,0
,,,,719,,,,4398392,,,,,,,,,,,,,R,21000000,2006,,,,0
,,,139,,,,267,4584886,,Marcela Mar,,,,,,,http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,,English,USA,R,,2007,,6.4,2.35,
,,,,2,,,,4829497,,,,,,,,,,,,,R,,2004,,,,0
,,,,688,,,,5000000,,,,,,,,,,,,,G,25000000,1970,,,,104
,,,,143,,,,5005883,,,,,,,,,,,,,R,20000000,2004,,,,0
,,,,892,,,,5132655,,,,,,,,,,,,,R,20000000,2005,,,,1000
,,,,650,,,,5205343,,,,,,,,,,,,,PG,20000000,2009,,,,1000
,,,,33,,,,5308553,,,,,,,,,,,,,PG,,2012,,,,0
,,,,0,,,,5480996,,,,,,,,,,,,,R,8700000,2006,,,,0
,,,108,,,,8000,5600000,,Julia Roberts,,,,,,,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,,English,USA,R,,1996,,5.8,1.85,
,,,121,,,,117,5660084,,Todd Giebenhain,,,,,,,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,,English,USA,R,,2003,,2.4,2.35,
,,,100,,,,624,5664251,,Tony Cox,,,,,,,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,,English,New Zealand,R,,2010,,6.3,2.35,
,,,,0,,,,5702083,,,,,,,,,,,,,R,15000000,2011,,,,36000
,,,,78,,,,5749134,,,,,,,,,,,,,R,20000000,2014,,,,0
,,,124,,,,21000,5755286,,Robert Downey Jr.,,,,,,,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2007,,5.9,2.35,
,,,,118,,,,5773519,,,,,,,,,,,,,PG-13,40000000,2015,,,,11000
,,,110,,,,11000,5773519,,Daniel Radcliffe,,,,,,,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2015,,6.0,2.35,
,,,,53,,,,5974653,,,,,,,,,,,,,PG-13,22000000,2001,,,,158
,,,,150,,,,6002756,,,,,,,,,,,,,PG,20000000,2012,,,,13000
,,,,15,,,,6061759,,,,,,,,,,,,,PG-13,17000000,2005,,,,0
,,,112,,,,11000,6105175,,James Franco,,,,,,,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,,English,USA,R,,2014,,6.6,2.35,
,,,133,,,,226,6167817,,Denis Lavant,,,,,,,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,,French,France,R,,2004,,7.7,2.35,
,,,,608,,,,6201757,,,,,,,,,,,,,R,10000000,1999,,,,608
,,,87,,,,2000,6291602,,Judy Greer,,,,,,,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,,English,USA,R,,2000,,5.6,1.85,
,,,,38,,,,6420319,,,,,,,,,,,,,PG-13,20000000,2015,,,,15000
,,,88,,,,11000,6471394,,Morgan Freeman,,,,,,,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2004,,4.9,2.35,
,,,,29,,,,6563357,,,,,,,,,,,,,R,20000000,2008,,,,847
,,,114,,,,879,6565495,,Li Gong,,,,,,,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,,Mandarin,China,R,,2006,,7.0,2.35,
,,,95,,,,956,6768055,,Sophia Myles,,,,,,,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,,English,UK,PG,,2004,,4.2,1.85,
,,,,52,,,,6830957,,,,,,,,,,,,,PG-13,21000000,2002,,,,365
,,,,17,,,,6852144,,,,,,,,,,,,,PG-13,22000000,2003,,,,0
,,,,31,,,,6923891,,,,,,,,,,,,,R,23000000,2011,,,,0
,,,,119,,,,7001720,,,,,,,,,,,,,PG-13,12000000,2008,,,,797
,,,100,,,,734,7204138,,Joel McHale,,,,,,,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,,English,USA,PG,,2011,,6.2,2.35,
,,,128,,,,14000,7221458,,Kate Winslet,,,,,,,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,,English,Germany,PG-13,,2006,,6.2,1.85,
,,,74,,,,11000,7262288,,Zooey Deschanel,,,,,,,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2002,,6.5,1.85,
,,,,0,,,,7268659,,,,,,,,,,,,,R,20000000,2013,,,,48000
,,,,3,,,,7382993,,,,,,,,,,,,,G,20000000,2006,,,,346
,,,,0,,,,7837632,,,,,,,,,,,,,R,18000000,1997,,,,0
,,,160,,,,23000,7916887,,Joseph Gordon-Levitt,,,,,,,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,,English,USA,R,,2008,,6.0,2.35,
,,,135,,,,22000,7994115,,Philip Seymour Hoffman,,,,,,,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,,English,UK,R,,2009,,7.4,2.35,
,,,,126,,,,8000000,,,,,,,,,,,,,G,20000000,1965,,,,1000
,,,,28,,,,8000000,,,,,,,,,,,,,PG,18000000,1981,,,,346
,,,,43,,,,8047690,,,,,,,,,,,,,PG-13,19400000,2006,,,,0
,,,,54,,,,8054280,,,,,,,,,,,,,PG-13,20000000,2004,,,,924
,,,,0,,,,8093318,,,,,,,,,,,,,R,20000000,2014,,,,18000
,,,,10,,,,8104069,,,,,,,,,,,,,PG-13,20000000,2007,,,,233
,,,101,,,,219,8129455,,Daniel Kaluuya,,,,,,,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,,English,USA,PG,,2011,,6.3,2.35,
,,,,10,,,,8326035,,,,,,,,,,,,,PG-13,33000000,2005,,,,676
,,,109,,,,49000,8355815,,Robin Williams,,,,,,,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,,English,UK,R,,2002,,6.4,1.85,
,,,,51,,,,8396942,,,,,,,,,,,,,R,19000000,2008,,,,0
,,,,15,,,,8500000,,,,,,,,,,,,,PG,20000000,1981,,,,501
,,,,0,,,,8579684,,,,,,,,,,,,,R,9000000,2007,,,,0
,,,,0,,,,8579684,,,,,,,,,,,,,R,9000000,2007,,,,0
,,,,79,,,,8600000,,,,,,,,,,,,,PG,25000000,1984,,,,1000
,,,96,,,,841,8742261,,Chris Klein,,,,,,,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,,English,Canada,PG-13,,2009,,3.7,2.35,
,,,,52,,,,8855646,,,,,,,,,,,,,PG-13,21000000,2009,,,,10000
,,,,9,,,,8888355,,,,,,,,,,,,,PG-13,20000000,2013,,,,0
,,,,84,,,,9109322,,,,,,,,,,,,,PG,20000000,2004,,,,0
,,,,0,,,,9430988,,,,,,,,,,,,,R,17000000,2009,,,,7000
,,,92,,,,13000,9483821,,Sylvester Stallone,,,,,,,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,,English,USA,R,,2012,,5.7,1.85,
,,,,0,,,,9525276,,,,,,,,,,,,,R,20000000,2007,,,,0
,,,108,,,,6000,9528092,,Naomi Watts,,,,,,,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2010,,6.8,2.35,
,,,,37,,,,9694105,,,,,,,,,,,,,PG,22000000,1999,,,,272
,,,,11000,,,,9714482,,,,,,,,,,,,,R,20000000,1996,,,,0
,,,107,,,,2000,9795017,,Michael Biehn,,,,,,,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,,English,USA,R,,1995,,5.1,1.85,
,,,,6000,,,,10049886,,,,,,,,,,,,,PG,19000000,2001,,,,28000
,,,127,,,,984,10137232,,Ian Ziering,,,,,,,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,,English,France,R,,2005,,6.0,2.35,
,,,135,,,,10000,10400000,,Gary Oldman,,,,,,,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,,English,USA,R,,1995,,5.1,2.35,
,,,,31,,,,10494494,,,,,,,,,,,,,PG-13,18000000,2013,,,,4000
,,,81,,,,13000,10539414,,Michael Fassbender,,,,,,,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2010,,4.7,2.35,
,,,,4,,,,10544143,,,,,,,,,,,,,PG-13,20000000,1999,,,,311
,,,,277,,,,10555348,,,,,,,,,,,,,PG-13,20000000,1989,,,,855
,,,115,,,,972,10556196,,Mia Kirshner,,,,,,,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,,English,USA,PG-13,,1997,,6.2,2.35,
,,,,0,,,,10562387,,,,,,,,,,,,,R,18500000,1998,,,,15000
,,,,11000,,,,10569071,,,,,,,,,,,,,R,20000000,1997,,,,0
,,,,87,,,,10696210,,,,,,,,,,,,,PG-13,23500000,1993,,,,716
,,,104,,,,12000,10706786,,Nicolas Cage,,,,,,,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,,English,USA,R,,2011,,5.5,1.85,
,,,,350,,,,11034436,,,,,,,,,,,,,R,20000000,2005,,,,0
,,,106,,,,3000,11146409,,Djimon Hounsou,,,,,,,http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1,,English,USA,R,,1998,,6.0,2.35,
,,,,1000,,,,11169531,,,,,,,,,,,,,PG-13,20000000,2008,,,,0
,,,,108,,,,11326836,,,,,,,,,,,,,R,22000000,2013,,,,17000
,,,100,,,,995,11466088,,Hector Elizondo,,,,,,,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1,,English,USA,R,,1997,,4.7,2.35,
,,,,18,,,,11784000,,,,,,,,,,,,,PG,20000000,1994,,,,444
,,,,198,,,,12134420,,,,,,,,,,,,,R,20000000,2010,,,,25000
,,,,272,,,,12181484,,,,,,,,,,,,,PG-13,40000000,2004,,,,713
,,,,212,,,,12232937,,,,,,,,,,,,,PG-13,22000000,2009,,,,0
,,,,394,,,,12398628,,,,,,,,,,,,,R,20000000,2002,,,,977
,,,,563,,,,12469811,,,,,,,,,,,,,R,22000000,2005,,,,0
,,,,214,,,,12626905,,,,,,,,,,,,,R,20000000,2016,,,,0
,,,,737,,,,12784713,,,,,,,,,,,,,R,22000000,2004,,,,0
,,,129,,,,2000,12802907,,Kelly Macdonald,,,,,,,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,,English,UK,R,,2012,,6.6,2.35,
,,,,118,,,,12831121,,,,,,,,,,,,,PG-13,30000000,2004,,,,0
,,,280,,,,789,12870569,,Billy Campbell,,,,,,,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2003,,6.3,2.35,
,,,,176,,,,12987647,,,,,,,,,,,,,R,30000000,2002,,,,983
,,,,192,,,,13214030,,,,,,,,,,,,,PG-13,20000000,2008,,,,0
,,,,11000,,,,13383737,,,,,,,,,,,,,R,20000000,1994,,,,979
,,,,6,,,,13391174,,,,,,,,,,,,,PG,20000000,2006,,,,0
,,,95,,,,409,13401683,,Wood Harris,,,,,,,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,,English,UK,R,,2012,,7.1,2.35,
,,,,128,,,,13491653,,,,,,,,,,,,,R,18000000,2001,,,,813
,,,,34,,,,13555988,,,,,,,,,,,,,PG,22000000,2000,,,,0
,,,212,,,,12000,13560960,,Anthony Hopkins,,,,,,,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,,English,USA,R,,1995,,7.1,2.35,
,,,,83,,,,13630226,,,,,,,,,,,,,R,20000000,2009,,,,0
,,,,53,,,,13650738,,,,,,,,,,,,,R,20000000,2015,,,,25000
,,,,21,,,,13746550,,,,,,,,,,,,,R,2000000,2012,,,,0
,,,,36,,,,13801755,,,,,,,,,,,,,PG,20000000,1997,,,,0
,,,,20,,,,13987482,,,,,,,,,,,,,R,20000000,2011,,,,0
,,,,179,,,,13998282,,,,,,,,,,,,,PG-13,16000000,2014,,,,31000
,,,158,,,,51,14131298,,Paul Brooke,,,,,,,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,,English,France,R,,1999,,6.4,2.35,
,,,,82,,,,14174654,,,,,,,,,,,,,PG-13,25000000,2008,,,,0
,,,,4,,,,14252830,,,,,,,,,,,,,PG-13,22000000,2001,,,,0
,,,,4,,,,14291570,,,,,,,,,,,,,PG-13,20000000,2012,,,,10000
,,,,909,,,,14359793,,,,,,,,,,,,,R,,2009,,,,10000
,,,,0,,,,14793904,,,,,,,,,,,,,PG-13,18000000,2009,,,,0
,,,127,,,,788,14946229,,Joseph Gilgun,,,,,,,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,,English,UK,R,,2016,,7.3,2.35,
,,,99,,,,12000,15279680,,Nicolas Cage,,,,,,,http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,,English,USA,R,,2008,,5.4,1.85,
,,,,44,,,,15281286,,,,,,,,,,,,,R,18000000,2009,,,,0
,,,,13,,,,15408822,,,,,,,,,,,,,PG-13,20000000,2003,,,,401
,,,,143,,,,15464026,,,,,,,,,,,,,PG-13,20000000,2000,,,,1000
,,,75,,,,4000,15519841,,Sarah Michelle Gellar,,,,,,,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,,English,USA,PG,,2006,,4.5,1.85,
,,,128,,,,854,15523168,,Jim Belushi,,,,,,,http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,,English,France,PG-13,,2010,,7.2,2.35,
,,,220,,,,13000,15527125,,Matt Damon,,,,,,,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,,English,USA,PG-13,,2000,,5.8,2.35,
,,,,34,,,,15561627,,,,,,,,,,,,,R,18000000,2001,,,,0
,,,,2,,,,15712072,,,,,,,,,,,,,PG-13,20000000,2004,,,,269
,,,,395,,,,15797907,,,,,,,,,,,,,PG-13,20000000,2007,,,,0
,,,,2,,,,15911333,,,,,,,,,,,,,G,19000000,2000,,,,663
,,,,190,,,,15988876,,,,,,,,,,,,,PG-13,27000000,2009,,,,0
,,,,11,,,,16027866,,,,,,,,,,,,,PG-13,25000000,2015,,,,0
,,,107,,,,939,16088610,,Stephen Root,,,,,,,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1,,English,USA,PG,,2009,,5.6,2.35,
,,,,0,,,,16248701,,,,,,,,,,,,,R,20000000,2003,,,,0
,,,114,,,,13000,16264475,,Eddie Redmayne,,,,,,,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,,English,UK,PG-13,,2007,,6.9,1.85,
,,,,0,,,,16284360,,,,,,,,,,,,,PG-13,21000000,2008,,,,1000
,,,99,,,,1000,16671505,,Joe Mantegna,,,,,,,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,,English,USA,PG,,1994,,5.9,1.85,
,,,,11000,,,,16684352,,,,,,,,,,,,,R,17000000,2012,,,,18000
,,,,38,,,,16702864,,,,,,,,,,,,,PG,18000000,2004,,,,591
,,,,0,,,,16988996,,,,,,,,,,,,,G,35000000,2002,,,,422
,,,,11000,,,,17071230,,,,,,,,,,,,,PG,18000000,2000,,,,812
